Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity
2023-01-05,Mumbai,48.07,63.11,36.97,9.22,2.31,48.53,141.1,14.0,65.6
2023-01-06,Mumbai,50.47,62.08,14.24,36.48,2.43,38.75,132.5,16.2,53.2
2023-01-07,Mumbai,39.1,52.62,16.36,15.76,1.64,15.2,108.9,16.2,42.9
2023-01-08,Mumbai,36.58,67.67,70.1,12.38,1.52,61.41,144.1,10.1,75.7
2023-01-09,Mumbai,31.98,34.38,58.04,21.57,0.29,60.65,104.5,16.6,22.2
2023-01-10,Mumbai,42.0,39.76,37.65,4.74,1.96,94.49,113.6,12.0,24.4
2023-01-11,Mumbai,47.72,67.65,41.83,36.52,3.2,76.11,146.6,17.2,31.3
2023-01-12,Mumbai,47.64,46.38,26.5,23.35,3.03,48.99,121.8,9.7,40.1
2023-01-13,Mumbai,30.83,57.63,76.63,22.91,1.04,73.28,130.7,10.4,24.3
2023-01-14,Mumbai,41.74,44.78,38.81,4.81,1.78,64.55,117.8,18.7,21.5
2023-01-15,Mumbai,37.77,49.22,51.89,34.42,1.84,61.53,122.0,13.9,75.8
2023-01-16,Mumbai,49.48,42.66,59.33,26.88,1.43,82.31,138.0,15.9,54.4
2023-01-17,Mumbai,39.43,67.71,53.01,26.13,1.46,80.37,139.8,17.6,41.7
2023-01-18,Mumbai,32.06,56.68,26.66,5.11,1.15,72.74,106.8,13.9,60.6
2023-01-19,Mumbai,41.06,51.15,77.1,32.81,3.38,72.4,141.1,16.9,72.6
2023-01-20,Mumbai,50.5,43.37,29.33,2.45,0.42,96.55,125.1,13.7,28.5
2023-01-21,Mumbai,25.51,50.45,53.86,33.7,2.09,40.05,105.6,15.9,33.1
2023-01-22,Mumbai,32.25,34.59,56.05,22.51,1.65,30.72,104.1,17.4,47.8
2023-01-23,Mumbai,49.64,40.62,52.79,30.02,0.76,26.39,133.4,16.6,26.3
2023-01-24,Mumbai,36.62,33.06,77.28,33.74,0.97,85.91,120.0,16.4,27.6
2023-01-25,Mumbai,30.28,55.42,58.04,15.06,0.63,54.54,118.8,16.6,56.5
2023-01-26,Mumbai,28.1,41.92,61.8,19.51,2.73,25.84,106.6,15.8,76.0
2023-01-27,Mumbai,48.89,41.68,73.41,24.26,1.17,12.79,143.4,15.6,86.5
2023-01-28,Mumbai,39.5,41.76,29.73,20.65,3.45,48.75,107.5,12.8,54.6
2023-01-29,Mumbai,28.92,41.38,65.76,35.93,1.42,53.39,109.4,17.9,69.9
2023-01-30,Mumbai,36.0,68.08,71.41,19.58,0.84,85.25,144.2,17.9,67.0
2023-01-01,Beijing,133.91,126.71,16.65,35.84,2.78,42.24,310.6,26.3,36.0
2023-01-02,Beijing,119.64,142.74,62.09,35.43,2.37,81.95,324.7,22.4,70.3
2023-01-03,Beijing,139.13,151.62,63.82,35.93,1.7,38.6,361.9,26.9,61.0
2023-01-04,Beijing,110.91,126.07,48.83,4.47,0.41,43.87,291.6,21.7,49.0
2023-01-05,Beijing,129.95,134.16,6.39,37.28,1.03,10.67,305.4,24.9,79.5
2023-01-06,Beijing,137.71,120.6,10.18,33.72,2.99,92.34,308.1,28.4,78.5
2023-01-07,Beijing,134.23,116.86,18.21,3.66,0.2,97.89,303.9,30.5,58.9
2023-01-08,Beijing,114.14,120.72,73.36,36.87,2.13,75.01,304.5,26.5,69.9
2023-01-09,Beijing,139.05,132.66,10.79,4.96,2.36,15.3,320.1,21.6,81.8
2023-01-10,Beijing,137.84,119.81,21.57,39.65,3.23,66.54,313.4,25.3,75.3
2023-01-11,Beijing,124.33,154.3,62.62,26.21,0.57,74.84,341.2,21.7,30.2
2023-01-12,Beijing,135.57,138.21,47.22,28.54,2.99,95.21,337.5,21.2,22.8
2023-01-13,Beijing,112.03,154.39,45.06,16.27,2.21,20.91,314.1,24.4,40.7
2023-01-14,Beijing,129.95,121.53,77.98,3.56,0.54,24.87,331.1,30.4,38.1
2023-01-15,Beijing,130.31,142.39,33.39,13.32,2.66,17.38,326.1,20.7,48.4
2023-01-16,Beijing,119.4,118.1,11.47,21.03,3.35,72.97,279.3,22.3,45.1
2023-01-17,Beijing,130.13,118.37,19.75,4.64,1.75,59.08,299.8,29.1,22.2
2023-01-18,Beijing,113.84,126.36,36.06,13.56,3.47,41.86,289.9,29.6,89.5
2023-01-19,Beijing,118.46,121.45,68.97,2.55,0.61,27.64,309.3,20.7,64.5
2023-01-20,Beijing,110.2,126.21,46.77,27.53,0.6,58.51,289.7,27.6,23.2
2023-01-21,Beijing,123.6,130.07,10.41,24.08,0.45,71.62,294.7,25.5,80.5
2023-01-22,Beijing,124.05,149.37,31.82,20.15,2.19,72.21,321.5,23.6,23.4
2023-01-23,Beijing,130.67,145.64,70.91,25.09,2.83,26.39,348.0,23.9,47.9
2023-01-24,Beijing,119.77,128.36,53.22,33.71,1.94,75.65,309.0,26.4,69.4
2023-01-25,Beijing,127.69,120.79,69.56,8.39,1.11,58.11,322.9,27.3,85.0
2023-01-26,Beijing,114.09,117.22,50.98,23.79,2.61,26.44,290.4,28.3,24.5
2023-01-27,Beijing,113.58,122.39,11.59,3.64,2.34,97.94,274.1,24.7,30.6
2023-01-28,Beijing,118.57,125.05,58.67,25.63,2.22,98.62,307.2,23.3,63.8
2023-01-29,Beijing,121.58,144.76,32.11,33.49,1.11,72.31,314.2,22.6,73.3
2023-01-30,Beijing,125.26,124.75,60.69,6.43,2.55,78.87,318.0,25.9,57.3
2023-01-01,London,105.91,163.92,42.0,27.24,1.4,42.18,311.0,13.7,41.8
2023-01-02,London,106.74,138.91,13.89,39.09,3.0,67.3,278.2,7.6,50.7
2023-01-03,London,130.53,150.32,34.45,16.17,0.78,10.27,333.3,12.3,66.7
2023-01-04,London,109.9,149.13,35.61,6.38,1.96,84.66,302.0,12.9,47.7
2023-01-05,London,104.4,135.92,50.35,28.1,1.28,28.16,290.5,14.6,26.4
2023-01-06,London,116.18,150.31,43.03,4.08,0.89,25.62,316.0,12.0,34.4
2023-01-07,London,126.18,129.1,34.61,35.54,3.34,38.06,309.9,8.9,21.4
2023-01-08,London,124.67,128.59,79.79,13.4,3.38,75.13,329.8,11.0,42.5
2023-01-09,London,123.83,162.91,25.03,26.51,1.63,13.47,328.6,7.4,23.2
2023-01-10,London,105.08,137.96,64.81,37.87,1.56,79.78,300.4,15.7,38.0
2023-01-11,London,122.52,163.83,48.18,29.46,0.59,46.64,338.9,10.4,74.6
2023-01-12,London,107.82,156.35,46.13,26.33,3.28,79.03,309.9,12.2,39.1
2023-01-13,London,115.41,134.97,24.44,26.64,1.45,97.45,293.3,9.1,69.6
2023-01-14,London,111.81,160.77,43.37,35.74,3.13,99.47,318.0,14.5,64.0
2023-01-15,London,118.21,160.7,41.61,37.91,2.67,60.66,326.7,9.5,43.0
2023-01-16,London,108.36,156.4,55.08,30.25,1.74,96.06,315.2,8.5,42.2
2023-01-17,London,117.35,127.35,59.04,12.72,0.96,66.01,307.4,15.4,22.1
2023-01-18,London,119.37,143.4,78.79,15.64,0.53,97.69,333.2,11.5,53.8
2023-01-19,London,119.51,135.83,53.67,29.3,2.2,62.91,314.8,11.1,65.6
2023-01-20,London,105.83,140.28,6.57,23.82,3.31,93.87,274.3,14.0,57.2
2023-01-21,London,127.08,135.02,26.72,15.0,1.68,89.48,312.0,14.8,56.0
2023-01-22,London,119.26,132.77,32.73,28.06,3.11,64.67,301.5,14.0,75.4
2023-01-23,London,123.68,159.01,56.18,35.07,3.09,92.62,340.8,14.4,20.7
2023-01-24,London,120.31,129.47,69.52,19.74,0.24,41.89,318.8,15.0,76.5
2023-01-25,London,131.46,150.71,58.87,5.75,1.21,19.97,347.2,12.8,51.6
2023-01-26,London,109.52,153.77,67.34,8.33,3.04,36.48,321.0,15.0,63.8
2023-01-27,London,119.19,143.29,70.35,24.45,2.82,96.73,328.6,8.6,37.7
2023-01-28,London,122.82,132.94,16.13,37.92,3.14,89.27,298.6,9.4,56.8
2023-01-29,London,118.33,127.14,7.55,7.95,1.52,25.4,283.0,7.3,49.6
2023-01-30,London,126.8,126.97,50.77,15.13,3.41,76.6,317.2,15.7,74.6
2023-01-01,New York,90.07,132.92,50.64,8.89,1.05,40.82,266.8,22.1,39.9
2023-01-02,New York,116.59,106.33,69.76,22.78,0.59,41.43,294.8,18.7,89.4
2023-01-03,New York,100.83,120.47,31.12,34.03,1.82,56.8,263.2,24.3,35.1
2023-01-04,New York,100.85,122.49,51.39,27.69,3.38,33.4,275.0,18.5,79.1
2023-01-05,New York,102.42,95.43,72.2,35.77,1.47,44.87,266.1,25.3,43.5
2023-01-06,New York,91.97,122.17,24.6,8.48,2.44,16.79,248.0,25.6,36.4
2023-01-07,New York,99.2,132.61,51.56,2.37,3.25,39.57,280.7,17.0,37.9
2023-01-08,New York,105.07,125.64,45.69,20.39,2.69,93.79,281.0,20.5,26.7
2023-01-09,New York,92.45,132.51,75.34,29.79,2.21,88.79,282.4,23.5,70.7
2023-01-10,New York,104.75,124.13,31.72,34.55,2.85,59.23,272.3,16.2,48.4
2023-01-11,New York,102.38,102.19,49.67,3.29,1.15,23.45,260.2,21.1,29.5
2023-01-12,New York,93.73,133.39,24.46,21.83,0.97,12.2,259.5,22.8,45.6
2023-01-13,New York,102.42,95.77,18.9,23.12,2.43,68.01,239.7,25.1,45.4
2023-01-14,New York,114.13,125.22,57.36,34.06,3.14,72.74,300.1,16.3,33.3
2023-01-15,New York,105.17,117.39,77.7,23.5,2.87,66.8,290.5,16.5,45.1
2023-01-16,New York,102.5,101.08,39.94,24.33,2.83,69.25,254.6,24.1,80.2
2023-01-17,New York,90.2,132.27,37.1,25.83,1.14,36.34,259.7,20.6,86.1
2023-01-18,New York,101.27,133.67,75.42,31.68,1.58,44.93,296.6,23.4,48.2
2023-01-19,New York,90.32,129.9,28.17,27.43,2.74,72.45,253.5,25.3,55.7
2023-01-20,New York,116.35,97.03,39.29,22.42,2.15,30.38,271.8,23.7,82.7
2023-01-21,New York,116.71,109.89,79.48,16.6,1.04,73.97,302.7,15.9,34.1
2023-01-22,New York,92.22,108.05,72.08,7.05,3.42,78.04,260.8,23.9,53.2
2023-01-23,New York,116.33,119.35,72.71,14.52,3.37,98.19,306.3,19.7,31.4
2023-01-24,New York,117.5,104.83,64.98,37.79,0.28,75.37,292.6,16.3,56.7
2023-01-25,New York,113.94,98.42,20.9,31.81,2.52,78.5,260.1,20.8,39.2
2023-01-26,New York,98.52,123.9,79.11,13.75,0.97,38.98,286.5,16.4,32.3
2023-01-27,New York,113.04,99.68,16.78,33.91,0.99,95.04,257.7,18.6,32.7
2023-01-28,New York,100.39,95.46,36.72,22.76,3.43,74.76,245.3,19.5,46.0
2023-01-29,New York,100.76,104.43,17.86,8.73,2.81,99.35,243.6,20.8,39.9
2023-01-30,New York,106.02,101.8,47.37,14.03,2.72,97.45,264.2,25.5,24.5
2023-01-01,Los Angeles,53.48,49.94,7.0,15.06,1.04,85.53,123.7,38.5,38.4
2023-01-02,Los Angeles,55.16,55.97,36.91,2.02,2.32,15.6,146.0,34.0,30.8
2023-01-03,Los Angeles,56.84,51.21,39.51,22.75,1.44,22.14,146.0,31.1,56.9
2023-01-04,Los Angeles,33.62,78.44,66.56,5.58,0.46,52.73,146.5,29.4,89.5
2023-01-05,Los Angeles,34.04,64.5,42.92,23.81,1.48,58.06,124.1,33.2,26.1
2023-01-06,Los Angeles,34.57,80.5,35.61,28.08,3.0,20.47,134.1,30.4,65.6
2023-01-07,Los Angeles,39.96,62.83,37.56,14.79,2.68,77.42,129.0,30.8,51.5
2023-01-08,Los Angeles,57.73,81.2,34.38,33.9,1.34,22.65,168.7,36.4,52.5
2023-01-09,Los Angeles,32.1,62.52,23.77,18.24,1.3,74.3,110.1,30.2,58.2
2023-01-10,Los Angeles,42.34,61.58,53.72,21.19,2.01,73.92,139.6,32.8,71.1
2023-01-11,Los Angeles,51.62,56.1,52.91,19.35,1.39,70.58,148.8,30.8,31.6
2023-01-12,Los Angeles,40.5,78.32,21.28,20.78,3.3,13.6,134.0,35.1,68.2
2023-01-13,Los Angeles,37.47,82.25,22.67,21.47,2.03,55.26,133.3,37.1,62.2
2023-01-14,Los Angeles,45.42,57.28,69.5,18.05,0.43,24.7,148.7,36.2,37.6
2023-01-15,Los Angeles,46.99,78.21,11.13,8.05,3.38,93.05,138.6,38.4,42.9
2023-01-16,Los Angeles,41.03,59.09,72.67,7.38,1.91,33.73,145.2,31.8,25.1
2023-01-17,Los Angeles,42.89,45.68,39.45,28.89,1.15,40.68,120.6,29.8,86.4
2023-01-18,Los Angeles,33.27,74.16,54.56,8.62,0.54,32.92,136.5,31.3,51.5
2023-01-19,Los Angeles,41.12,49.99,54.24,4.27,1.02,79.37,128.8,37.9,75.6
2023-01-20,Los Angeles,53.11,49.38,67.91,4.21,1.27,63.29,153.1,37.4,78.7
2023-01-21,Los Angeles,37.43,45.18,23.26,22.43,3.26,80.2,103.9,33.1,82.3
2023-01-22,Los Angeles,40.56,59.43,74.91,3.94,0.91,89.5,145.8,35.2,47.3
2023-01-23,Los Angeles,49.77,52.51,35.53,7.16,1.16,90.47,134.4,33.8,87.9
2023-01-24,Los Angeles,49.41,72.73,20.57,36.97,0.7,75.22,142.6,36.1,25.2
2023-01-25,Los Angeles,48.8,67.5,68.35,23.15,3.17,80.2,161.4,29.5,67.2
2023-01-26,Los Angeles,47.24,63.66,67.84,18.47,1.99,90.75,155.7,32.3,80.8
2023-01-27,Los Angeles,31.1,51.78,63.33,22.38,1.87,78.0,119.7,30.7,52.9
2023-01-28,Los Angeles,39.78,77.0,20.05,2.12,2.28,19.32,131.3,31.0,55.1
2023-01-29,Los Angeles,41.84,67.52,63.21,39.06,2.19,38.98,148.4,31.8,52.2
2023-01-30,Los Angeles,52.29,73.1,25.94,4.25,3.22,62.57,149.9,30.5,51.5
2023-01-01,Tokyo,19.92,49.23,14.77,2.71,3.36,66.17,76.6,23.9,55.7
2023-01-02,Tokyo,28.6,32.49,46.23,26.77,3.1,47.5,92.0,18.7,36.5
2023-01-03,Tokyo,36.68,56.88,74.45,18.76,2.11,27.15,137.7,20.3,65.0
2023-01-04,Tokyo,24.55,56.38,65.87,31.49,3.36,13.53,114.9,17.8,70.1
2023-01-05,Tokyo,13.05,45.91,51.47,38.73,3.08,69.13,82.0,22.5,81.6
2023-01-06,Tokyo,15.61,52.44,13.45,22.46,0.4,66.92,72.1,24.5,65.7
2023-01-07,Tokyo,33.93,50.05,34.03,19.64,1.8,20.28,108.0,18.3,58.9
2023-01-08,Tokyo,29.9,49.93,73.12,13.3,2.84,44.22,121.4,23.9,86.5
2023-01-09,Tokyo,21.08,50.12,41.75,6.85,0.2,19.04,92.6,23.3,23.6
2023-01-10,Tokyo,17.08,40.01,19.7,38.44,1.81,47.82,67.5,18.0,57.6
2023-01-11,Tokyo,32.56,29.16,47.49,33.43,0.64,66.5,95.9,22.0,31.6
2023-01-12,Tokyo,20.49,35.96,65.29,28.91,2.46,42.52,92.1,20.2,53.5
2023-01-13,Tokyo,17.22,51.88,17.63,24.54,3.45,16.41,76.1,19.8,43.0
2023-01-14,Tokyo,28.14,53.32,44.25,21.1,2.93,89.22,107.0,17.9,72.4
2023-01-15,Tokyo,25.94,35.99,12.54,15.55,0.42,67.72,74.0,17.8,62.2
2023-01-16,Tokyo,20.58,37.02,51.51,11.21,3.15,31.71,86.2,16.3,35.9
2023-01-17,Tokyo,23.2,44.35,34.11,21.15,1.04,65.2,87.3,20.2,78.4
2023-01-18,Tokyo,29.7,57.18,35.07,39.46,3.13,85.52,107.8,19.2,82.0
2023-01-19,Tokyo,32.21,41.2,26.03,4.66,2.75,69.89,94.3,24.2,22.0
2023-01-20,Tokyo,16.87,60.15,20.11,3.82,2.76,14.32,83.5,21.4,88.5
2023-01-21,Tokyo,17.18,46.95,44.83,4.26,1.04,88.58,85.7,25.0,22.2
2023-01-22,Tokyo,32.76,63.74,32.75,27.76,1.97,80.4,116.5,24.0,70.2
2023-01-23,Tokyo,24.02,39.47,13.73,3.04,3.17,89.6,74.5,18.6,51.5
2023-01-24,Tokyo,12.9,40.01,37.9,26.59,1.69,71.87,70.3,16.3,84.9
2023-01-25,Tokyo,40.25,47.42,48.27,30.98,2.36,71.68,122.4,19.6,39.1
2023-01-26,Tokyo,31.73,67.94,13.59,7.94,1.92,56.21,108.7,20.9,23.8
2023-01-27,Tokyo,26.98,35.6,51.96,7.58,1.6,91.09,94.9,18.2,82.2
2023-01-28,Tokyo,31.82,61.73,28.06,38.76,2.26,55.76,111.1,23.6,69.3
2023-01-29,Tokyo,17.97,49.63,13.94,14.71,1.84,43.21,73.6,18.7,64.7
2023-01-30,Tokyo,11.86,63.14,52.97,25.9,1.86,36.47,94.8,21.8,34.2
2023-01-01,Sydney,120.05,149.43,71.8,10.46,2.71,71.17,335.5,15.8,24.4
2023-01-02,Sydney,111.86,112.05,29.15,28.25,2.51,79.6,272.0,15.8,48.5
2023-01-03,Sydney,120.45,138.72,41.48,30.95,1.43,26.07,312.4,14.6,40.3
2023-01-04,Sydney,98.96,118.4,64.13,14.71,0.32,34.72,275.2,16.6,65.7
2023-01-05,Sydney,94.61,143.95,11.68,25.83,3.15,23.35,262.9,7.9,89.4
2023-01-06,Sydney,116.27,123.34,72.63,14.38,1.55,24.47,309.4,9.5,40.3
2023-01-07,Sydney,119.26,138.65,54.86,20.19,3.33,81.16,317.2,10.1,54.5
2023-01-08,Sydney,100.97,134.66,61.63,5.86,2.33,82.29,290.0,15.2,44.7
2023-01-09,Sydney,119.26,132.7,42.64,33.47,0.21,87.52,306.4,15.3,35.2
2023-01-10,Sydney,98.28,147.76,12.49,32.31,0.5,60.62,271.9,11.0,32.9
2023-01-11,Sydney,96.23,138.0,65.35,30.78,0.72,67.51,287.4,11.4,41.8
2023-01-12,Sydney,114.52,120.31,27.8,24.44,1.27,15.42,281.9,11.3,29.0
2023-01-13,Sydney,104.13,116.44,78.8,18.68,2.63,28.92,288.7,11.0,29.7
2023-01-14,Sydney,121.89,112.61,14.05,17.36,0.65,74.72,279.9,14.4,47.7
2023-01-15,Sydney,115.05,149.75,18.25,6.05,0.58,31.68,301.5,12.5,46.1
2023-01-16,Sydney,107.38,140.98,71.18,14.01,2.67,71.18,309.4,10.9,83.5
2023-01-17,Sydney,116.81,117.2,65.53,33.17,1.04,24.72,301.7,12.0,73.4
2023-01-18,Sydney,109.46,148.55,47.67,12.8,3.29,10.48,306.9,14.3,47.2
2023-01-19,Sydney,98.51,121.31,79.54,2.81,2.6,99.94,284.6,11.0,22.5
2023-01-20,Sydney,100.58,116.26,71.06,5.51,2.0,89.19,279.4,13.0,85.7
2023-01-21,Sydney,100.24,141.04,33.54,28.41,1.55,44.73,280.0,11.5,29.9
2023-01-22,Sydney,106.46,135.64,20.63,28.61,2.23,80.5,278.5,17.0,87.1
2023-01-23,Sydney,108.47,138.83,62.84,30.39,1.45,13.91,305.2,8.6,29.8
2023-01-24,Sydney,118.26,113.5,20.41,11.91,0.94,41.75,278.4,7.9,79.3
2023-01-25,Sydney,107.17,147.0,41.81,5.78,0.53,77.85,299.3,8.1,20.2
2023-01-26,Sydney,96.96,116.88,78.66,30.34,1.49,88.08,278.3,14.3,55.5
2023-01-27,Sydney,109.17,111.98,18.51,23.2,3.0,34.83,262.6,16.7,32.5
2023-01-28,Sydney,106.51,138.88,21.0,34.93,0.87,44.58,281.4,11.1,56.8
2023-01-29,Sydney,113.64,147.57,16.77,33.97,1.42,45.2,296.9,17.3,59.9
2023-01-30,Sydney,97.78,132.23,8.67,37.89,0.88,96.21,256.8,13.7,57.8
2023-01-01,Cairo,31.38,70.44,38.54,13.19,0.75,89.24,122.7,38.9,26.1
2023-01-02,Cairo,33.98,51.56,67.98,22.38,0.73,72.0,126.2,34.4,64.2
2023-01-03,Cairo,44.03,80.79,46.47,21.18,3.41,62.29,153.9,32.1,72.5
2023-01-04,Cairo,42.35,76.68,11.51,39.27,3.15,41.63,130.6,37.5,87.9
2023-01-05,Cairo,53.17,48.09,50.9,19.01,2.99,47.39,143.7,33.8,29.6
2023-01-06,Cairo,52.63,71.26,65.9,24.77,1.72,75.67,168.9,33.5,64.4
2023-01-07,Cairo,29.04,46.21,79.03,26.74,1.71,63.92,120.0,38.1,67.3
2023-01-08,Cairo,54.77,49.41,45.81,31.72,2.15,32.19,144.6,33.0,45.5
2023-01-09,Cairo,35.48,67.78,68.44,26.28,1.41,71.73,141.7,29.6,81.5
2023-01-10,Cairo,34.72,81.31,20.25,7.82,1.46,95.0,127.3,39.0,23.1
2023-01-11,Cairo,45.74,64.76,79.08,25.3,0.82,79.59,160.0,38.9,77.8
2023-01-12,Cairo,32.15,42.58,58.96,27.86,2.99,70.78,111.8,35.3,87.7
2023-01-13,Cairo,49.04,46.06,27.98,28.68,1.15,98.96,124.4,30.1,88.9
2023-01-14,Cairo,47.35,70.19,19.72,16.03,2.55,43.0,137.0,36.2,55.6
2023-01-15,Cairo,54.55,61.23,21.85,19.62,2.76,69.94,141.7,32.2,39.3
2023-01-16,Cairo,47.0,48.91,44.52,39.07,0.94,94.77,131.9,39.2,79.1
2023-01-17,Cairo,55.39,66.17,24.92,29.31,2.19,44.3,148.5,38.5,41.7
2023-01-18,Cairo,48.48,43.73,13.94,25.42,0.33,39.5,114.7,30.0,76.4
2023-01-19,Cairo,55.16,71.69,25.33,25.93,2.41,71.31,152.8,29.6,60.2
2023-01-20,Cairo,45.68,52.49,53.42,9.99,1.97,61.42,137.2,38.0,22.8
2023-01-21,Cairo,37.59,59.06,9.55,34.25,0.79,45.77,108.4,31.4,49.0
2023-01-22,Cairo,43.34,49.91,34.41,39.59,2.68,89.0,122.1,36.3,29.8
2023-01-23,Cairo,30.9,46.91,27.67,35.53,1.47,41.72,97.7,30.4,32.5
2023-01-24,Cairo,54.37,77.19,10.92,13.41,2.51,10.21,148.8,32.8,86.1
2023-01-25,Cairo,30.53,67.05,23.49,26.48,2.67,51.36,111.2,35.3,71.6
2023-01-26,Cairo,30.36,60.66,33.23,23.36,2.19,64.37,110.7,33.9,58.5
2023-01-27,Cairo,49.61,49.0,72.89,33.38,1.04,57.21,150.1,37.3,70.8
2023-01-28,Cairo,31.67,80.32,69.75,11.05,2.1,98.27,146.6,29.8,45.0
2023-01-29,Cairo,35.53,51.42,54.85,34.14,0.73,36.05,121.9,32.3,45.6
2023-01-30,Cairo,30.08,67.86,36.05,33.66,2.36,96.46,117.4,30.9,40.8
2023-01-01,Mexico City,67.4,85.13,9.02,5.55,2.49,77.5,173.7,21.9,78.0
2023-01-02,Mexico City,57.56,72.83,71.49,28.16,3.15,30.2,180.3,20.2,89.9
2023-01-03,Mexico City,45.73,69.02,17.29,28.52,2.45,18.8,132.5,18.0,89.2
2023-01-04,Mexico City,65.88,96.61,25.57,33.27,2.94,19.68,188.9,21.0,60.1
2023-01-05,Mexico City,52.47,63.91,36.04,32.94,0.87,75.24,147.9,14.7,45.0
2023-01-06,Mexico City,62.9,71.57,9.83,18.01,0.43,15.03,156.5,14.8,85.5
2023-01-07,Mexico City,61.03,94.48,50.68,38.68,1.1,66.13,192.5,16.6,36.6
2023-01-08,Mexico City,60.33,98.52,59.69,7.54,1.25,95.8,199.2,21.5,86.0
2023-01-09,Mexico City,68.71,77.06,18.65,18.32,3.43,13.95,174.0,19.3,39.7
2023-01-10,Mexico City,68.23,64.36,39.52,39.32,1.61,16.64,173.6,14.4,69.4
2023-01-11,Mexico City,48.29,95.12,78.88,25.57,1.58,26.25,188.0,17.9,88.6
2023-01-12,Mexico City,65.52,72.5,72.26,6.49,2.87,33.88,192.4,12.9,75.4
2023-01-13,Mexico City,59.57,97.28,19.27,2.4,2.05,58.1,176.8,19.2,77.6
2023-01-14,Mexico City,65.23,98.44,57.28,38.01,0.52,98.65,205.2,18.7,39.3
2023-01-15,Mexico City,55.6,77.41,7.66,25.95,0.44,19.4,149.2,18.6,39.6
2023-01-16,Mexico City,69.36,81.52,19.54,7.34,3.08,65.92,179.0,20.1,89.8
2023-01-17,Mexico City,46.49,94.69,60.58,22.11,0.83,22.26,175.8,14.4,38.3
2023-01-18,Mexico City,47.4,94.97,61.28,3.34,1.31,42.89,177.7,21.0,35.0
2023-01-19,Mexico City,58.46,89.53,49.62,13.77,2.68,30.82,184.1,13.0,66.7
2023-01-20,Mexico City,47.34,68.64,76.95,35.22,0.87,78.45,164.4,13.4,41.4
