PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
103,3,female,20.0,0,0,4.0,S,1
104,3,male,55.0,0,0,7.49,S,0
105,3,male,31.5,1,0,4.69,S,1
106,3,female,3.6,0,0,9.44,S,1
107,1,female,15.1,0,0,106.61,S,0
108,2,male,49.8,4,0,20.93,S,1
109,3,male,11.2,0,1,10.69,Q,1
110,3,female,,1,2,12.75,S,1
111,2,male,34.2,0,0,15.53,S,0
112,2,female,,0,0,26.22,C,1
113,2,female,,3,0,20.25,C,1
114,1,male,50.8,1,0,61.98,S,0
115,1,male,,0,3,35.38,C,1
116,3,female,43.7,3,0,8.47,C,0
117,3,male,,2,0,16.79,C,0
118,1,male,16.0,0,0,108.29,S,0
119,2,male,32.2,2,0,22.04,C,1
120,1,male,32.1,0,0,79.88,C,0
121,2,male,21.3,0,0,21.03,Q,0
122,3,male,39.9,2,0,6.13,S,1
123,3,female,9.9,0,1,4.0,C,1
124,2,female,17.9,0,0,38.05,S,1
125,2,female,,0,0,16.54,C,0
126,3,female,38.9,0,0,12.71,S,1
127,3,female,39.5,0,0,19.41,S,0
128,2,male,37.7,0,0,21.42,S,1
129,1,male,12.2,0,1,74.33,S,1
130,1,male,,0,1,85.15,S,1
131,1,male,34.9,1,0,69.68,S,0
132,3,female,8.0,0,1,12.98,C,0
133,3,male,18.3,0,1,10.06,C,1
134,3,male,37.4,2,0,17.42,S,0
135,1,male,,0,0,91.07,C,0
136,2,male,32.3,0,0,15.2,S,1
137,3,female,36.0,0,0,5.16,S,0
138,3,female,33.2,0,0,8.6,S,1
139,2,female,30.9,0,1,19.84,C,0
140,1,female,27.6,4,0,60.73,S,1
141,3,female,17.7,0,0,16.48,S,1
142,2,male,25.8,1,0,19.01,S,1
143,3,male,23.8,0,2,9.59,C,0
144,1,female,,0,1,82.93,S,1
145,3,female,32.4,2,0,4.0,C,0
146,3,female,28.9,0,0,14.04,C,1
147,3,male,26.0,0,0,14.79,S,1
148,2,male,27.5,0,2,36.02,S,0
149,3,female,25.5,1,0,7.01,S,1
150,1,male,36.1,0,0,68.01,S,0
151,2,female,28.6,0,1,26.57,S,1
152,2,male,39.5,0,3,21.9,S,1
153,3,female,20.0,0,2,4.67,C,1
154,1,male,33.6,0,1,102.35,S,0
155,3,female,40.4,4,0,10.54,S,1
156,3,male,14.0,3,3,13.7,S,0
157,3,male,31.2,0,1,6.61,S,0
158,2,male,32.2,2,0,32.6,S,0
159,2,female,24.6,0,2,22.17,C,1
160,2,female,22.7,1,2,19.23,S,0
161,3,male,4.9,2,0,15.92,S,0
162,3,female,43.9,0,0,17.51,S,1
163,3,female,16.9,1,0,7.33,S,1
164,2,male,12.9,0,0,32.93,S,1
165,2,male,37.6,0,1,37.92,S,0
166,3,female,,4,0,13.3,S,1
167,3,male,41.5,0,1,4.96,S,1
168,1,male,34.6,1,0,94.2,S,1
169,2,female,36.8,0,0,33.52,S,1
170,3,male,26.9,0,1,6.92,S,0
171,3,female,13.2,0,3,20.36,Q,1
172,2,male,4.4,2,0,23.46,S,0
173,2,male,47.9,0,2,24.08,S,0
174,2,female,,2,0,33.79,S,1
175,3,male,22.3,0,0,13.07,C,1
176,1,female,49.6,2,0,111.32,S,1
177,3,male,20.8,1,0,11.97,S,0
178,3,female,,1,0,13.97,S,1
179,3,female,25.9,0,0,12.15,S,0
180,2,male,27.2,0,0,26.96,S,1
181,3,male,15.5,1,0,14.95,S,0
182,3,male,21.7,0,1,14.45,S,0
183,2,male,45.7,0,0,22.64,S,1
184,3,female,38.9,1,0,16.72,Q,1
185,3,male,0.5,1,0,11.6,S,0
186,3,male,3.5,0,1,18.04,C,1
187,1,male,33.3,0,1,95.61,Q,1
188,1,male,,2,0,77.97,S,1
189,3,female,24.1,0,0,8.38,S,1
190,2,male,42.6,0,0,25.4,S,0
191,3,male,5.8,2,2,18.97,S,1
192,1,male,,0,3,84.98,C,1
193,3,male,30.7,0,1,16.9,S,1
194,3,male,36.1,1,2,11.61,S,1
195,3,female,32.3,0,0,10.47,S,0
196,1,male,40.0,0,0,62.8,C,1
197,2,male,,0,0,9.54,S,1
198,1,female,,0,0,87.99,S,1
199,3,male,39.2,0,0,12.21,S,0
200,2,male,31.3,3,0,24.64,Q,0
201,1,male,12.7,0,1,99.61,S,0
202,1,male,46.5,0,2,55.5,S,1
203,3,male,44.7,0,0,20.49,S,1
204,1,male,47.7,0,2,43.51,S,1
205,1,female,30.0,3,2,86.33,S,1
206,2,female,33.6,0,0,15.5,C,1
207,2,female,24.0,1,1,22.83,S,1
208,3,female,16.4,2,3,17.78,C,1
209,3,male,29.9,0,0,4.55,Q,0
210,2,female,31.3,1,0,26.43,S,0
211,3,male,20.4,2,0,12.54,S,0
212,1,male,52.8,0,0,84.41,S,1
213,2,female,8.0,3,1,27.01,S,1
214,3,male,18.4,0,0,15.99,S,1
215,1,female,20.3,0,0,92.26,S,1
216,2,female,45.8,4,1,27.98,S,1
217,2,male,25.7,0,1,32.1,Q,1
218,2,male,24.8,3,2,30.27,Q,0
219,1,female,17.5,0,0,76.68,S,1
220,1,female,19.1,1,1,49.19,S,1
221,2,male,12.0,0,0,31.31,Q,0
222,1,male,42.2,0,0,71.25,S,0
223,3,male,36.9,0,0,20.19,C,0
224,3,female,41.9,1,0,9.17,S,0
225,3,male,20.4,4,0,5.94,,0
226,3,female,61.7,0,0,17.62,C,0
227,2,female,16.2,0,0,18.98,S,1
228,1,male,2.3,1,1,42.39,S,1
229,2,male,,4,0,34.35,S,1
230,2,female,30.8,4,0,13.3,S,1
231,3,male,38.8,2,3,18.53,S,0
232,1,male,15.8,1,2,55.9,S,1
233,2,male,36.7,1,1,28.18,S,1
234,3,male,51.2,0,1,13.06,Q,1
235,2,male,,3,1,10.39,S,1
236,2,female,19.4,1,3,24.78,S,1
237,3,male,6.9,0,0,9.84,C,1
238,2,female,32.1,0,0,25.91,S,1
239,1,female,40.1,0,0,92.97,S,1
240,3,female,39.0,0,0,19.82,C,1
241,3,female,39.8,4,3,10.75,S,1
242,3,male,47.4,1,1,11.44,S,0
243,1,male,30.7,1,0,133.49,C,0
244,2,male,41.4,0,0,30.69,S,0
245,1,male,16.6,1,1,98.7,S,1
246,2,male,18.7,0,0,12.66,S,0
247,3,female,,0,0,4.95,S,1
248,1,male,18.4,0,0,65.84,S,0
249,2,female,36.4,0,1,23.39,S,0
250,3,male,46.9,2,1,14.38,S,0
251,3,male,,0,0,25.6,S,1
252,2,male,19.4,0,0,14.87,S,1
253,3,male,19.3,3,0,9.88,S,1
254,3,male,46.7,0,1,15.07,S,0
255,2,male,18.6,1,1,27.05,S,0
256,3,female,30.2,1,2,17.53,S,1
257,1,female,25.6,0,0,72.41,S,1
258,3,male,29.7,0,0,7.43,S,1
259,1,female,43.3,0,1,131.84,S,1
260,3,male,,1,1,14.12,C,0
261,3,male,10.7,0,3,5.93,C,1
262,2,male,47.9,1,0,22.09,S,1
263,3,female,31.9,0,0,11.6,C,0
264,2,male,38.4,0,2,12.9,Q,1
265,3,male,28.7,3,2,15.76,S,0
266,1,male,39.1,0,0,83.17,S,0
267,3,male,,3,0,10.04,C,0
268,3,male,46.8,0,0,8.6,S,1
269,3,female,25.4,2,0,20.08,S,0
270,2,female,24.4,0,0,24.12,C,1
271,2,male,,1,2,18.53,S,0
272,3,female,31.7,0,0,4.0,C,1
273,2,male,36.4,0,1,16.2,Q,1
274,1,female,19.8,0,0,96.38,S,1
275,3,male,0.5,0,0,19.26,C,1
276,2,male,34.9,0,0,15.37,C,0
277,3,female,,0,0,4.0,S,1
278,2,male,37.4,0,0,24.93,S,1
279,3,male,50.6,2,1,11.55,C,0
280,2,male,40.1,1,0,31.55,C,0
281,2,male,24.0,0,0,18.96,S,0
282,3,male,41.8,0,0,12.32,S,0
283,3,female,,0,0,4.0,S,1
284,3,male,45.3,4,0,5.59,C,0
285,3,male,32.1,0,0,9.04,C,0
286,2,male,,1,2,21.08,S,0
287,3,female,,1,2,14.43,C,1
288,3,female,,1,0,17.89,S,1
289,3,male,,1,2,4.67,S,0
290,3,female,29.8,1,0,20.2,S,1
291,1,male,0.5,0,1,60.17,C,1
292,3,male,35.5,0,0,9.67,Q,0
293,1,male,41.9,2,0,107.1,S,1
294,3,male,55.7,4,0,4.0,S,0
295,1,male,33.9,0,0,42.65,C,0
296,1,male,19.7,0,0,58.26,S,1
297,3,male,8.3,3,0,12.2,S,1
298,2,female,54.3,0,1,33.34,S,1
299,3,male,10.5,1,3,17.3,S,0
300,3,male,40.6,0,2,7.25,C,0
301,3,male,0.5,1,0,15.57,C,0
302,1,male,,0,0,68.62,S,0
303,3,female,37.9,0,0,19.27,S,1
304,3,male,33.2,0,2,10.45,S,1
305,3,female,,0,1,17.14,C,1
306,3,male,18.3,0,2,6.7,S,1
307,3,female,17.2,0,1,15.73,S,1
308,3,male,42.1,0,0,5.01,S,1
309,2,male,34.7,0,0,25.63,S,1
310,3,male,26.9,0,1,4.0,C,0
311,3,male,,1,1,11.14,S,0
312,1,male,17.0,1,1,59.6,S,1
313,2,male,42.3,0,0,16.97,S,1
314,1,female,45.4,0,0,85.37,S,1
315,1,male,18.9,0,0,99.06,S,1
316,1,female,30.3,0,0,82.32,S,1
317,2,female,,0,0,27.3,S,1
318,2,male,20.7,0,1,30.61,S,0
319,3,female,55.4,0,2,18.0,S,1
320,3,male,48.6,0,1,17.0,S,0
321,3,male,25.4,0,0,13.92,S,0
322,2,female,41.7,0,0,40.84,S,1
323,3,male,,1,0,9.36,S,1
324,2,male,12.8,0,1,31.26,S,0
325,3,male,37.0,0,0,6.18,S,1
326,3,female,27.1,0,1,23.87,Q,0
327,3,female,26.2,0,0,10.67,S,0
328,2,male,38.2,0,0,26.11,S,0
329,3,male,,0,1,18.81,S,0
330,3,female,10.8,0,0,10.94,S,1
331,1,male,10.5,3,0,58.39,C,1
332,3,male,28.7,1,0,4.0,Q,0
333,3,male,37.2,3,0,10.53,S,0
334,1,male,28.7,0,0,130.58,C,0
335,2,female,27.0,1,1,26.16,S,1
336,3,male,28.6,0,0,20.55,C,0
337,1,male,45.8,0,1,100.1,S,0
338,3,female,35.9,0,2,9.62,S,1
339,3,male,19.3,2,0,4.79,Q,0
340,3,male,25.2,0,0,10.89,S,0
341,3,male,44.7,2,1,14.95,Q,0
342,3,male,,0,0,10.75,Q,0
343,2,male,23.9,2,0,26.13,S,1
344,3,male,,0,0,14.73,S,0
345,1,female,15.2,0,0,70.04,C,1
346,3,female,40.7,0,0,4.55,S,0
347,2,male,0.5,1,0,22.05,S,1
348,3,male,47.9,1,0,14.65,C,0
349,3,male,23.3,0,1,7.65,Q,0
350,1,female,12.7,1,0,52.36,S,1
351,1,male,32.7,0,0,53.67,,1
352,1,male,6.8,0,0,72.84,S,1
353,1,male,36.0,0,0,75.55,C,0
354,3,female,39.1,0,0,11.44,Q,0
355,3,male,21.5,2,0,5.36,S,0
356,3,female,23.9,0,2,11.86,S,1
357,2,male,41.3,1,1,19.48,Q,1
358,1,female,20.3,0,0,54.81,Q,1
359,2,female,29.3,4,0,9.67,S,1
360,3,male,33.5,2,0,6.11,S,1
361,3,male,49.3,0,0,8.59,Q,0
362,3,female,22.5,0,2,12.37,S,1
363,1,male,29.5,2,0,88.5,S,1
364,3,male,43.7,0,0,11.81,C,1
365,2,male,0.5,0,2,26.29,S,0
366,3,female,25.5,1,0,5.99,C,1
367,2,male,4.2,0,0,30.84,S,0
368,2,male,5.1,0,1,30.98,S,1
369,2,male,54.4,1,0,29.93,S,0
370,2,female,31.7,4,0,20.49,S,1
371,1,male,48.3,0,0,76.22,S,1
372,3,male,25.9,2,0,9.33,C,0
373,1,female,36.0,1,0,45.37,C,1
374,3,female,23.4,2,2,9.97,C,1
375,3,female,21.9,0,0,4.0,Q,1
376,3,female,,0,0,4.0,S,1
377,2,male,30.7,1,0,28.97,C,1
378,2,male,48.9,0,1,28.91,S,1
379,3,male,26.4,0,0,15.88,S,0
380,2,female,33.9,0,2,21.01,S,1
381,1,male,25.7,2,0,79.21,S,1
382,3,male,,0,1,14.38,C,1
383,1,female,12.0,0,1,69.27,S,1
384,3,female,,3,0,4.0,Q,0
385,2,female,22.2,0,0,42.51,S,1
386,2,male,29.5,0,0,34.52,S,0
387,3,female,26.2,0,0,18.03,C,0
388,2,male,41.8,1,0,25.36,S,0
389,3,female,,0,0,7.79,Q,0
390,2,male,29.2,1,3,25.35,S,0
391,3,male,31.3,0,0,13.26,S,1
392,3,male,33.5,2,0,4.98,C,0
393,2,male,,1,0,20.96,Q,1
394,1,male,35.6,0,0,93.32,C,0
395,2,female,45.7,2,3,36.86,C,0
396,2,male,50.0,0,3,29.69,S,1
397,2,male,37.0,0,0,21.62,S,0
398,3,female,,1,1,5.49,Q,1
399,2,female,51.7,4,0,41.13,C,1
400,2,female,56.9,0,0,25.89,S,1
