Date,Country,Confirmed,Recovered,Deaths,Active
2021-01-30,India,4589,983,173,3433
2021-01-01,Brazil,863,2459,171,0
2021-01-02,Brazil,762,2355,164,0
2021-01-03,Brazil,661,2373,174,0
2021-01-04,Brazil,732,2643,170,0
2021-01-05,Brazil,761,2347,180,0
2021-01-06,Brazil,766,2599,171,0
2021-01-07,Brazil,697,2481,176,0
2021-01-08,Brazil,1051,2598,180,0
2021-01-09,Brazil,904,2409,172,0
2021-01-10,Brazil,1044,2376,164,0
2021-01-11,Brazil,1019,2613,180,0
2021-01-12,Brazil,753,2611,165,0
2021-01-13,Brazil,933,2552,180,0
2021-01-14,Brazil,747,2498,167,0
2021-01-15,Brazil,884,2402,166,0
2021-01-16,Brazil,716,2410,178,0
2021-01-17,Brazil,951,2517,171,0
2021-01-18,Brazil,869,2481,163,0
2021-01-19,Brazil,798,2643,165,0
2021-01-20,Brazil,841,2468,175,0
2021-01-21,Brazil,820,2479,164,0
2021-01-22,Brazil,803,2492,167,0
2021-01-23,Brazil,858,2476,167,0
2021-01-24,Brazil,883,2371,177,0
2021-01-25,Brazil,831,2428,173,0
2021-01-26,Brazil,835,2595,161,0
2021-01-27,Brazil,928,2435,170,0
2021-01-28,Brazil,873,2461,180,0
2021-01-29,Brazil,776,2593,165,0
2021-01-30,Brazil,844,2454,175,0
2021-01-01,UK,2351,991,193,1167
2021-01-02,UK,2423,1024,197,1202
2021-01-03,UK,2324,936,184,1204
2021-01-04,UK,2612,1101,191,1320
2021-01-05,UK,2495,911,186,1398
2021-01-06,UK,2323,1080,191,1052
2021-01-07,UK,2371,1039,195,1137
2021-01-08,UK,2605,957,181,1467
2021-01-09,UK,2464,859,184,1421
2021-01-10,UK,2588,787,190,1611
2021-01-11,UK,2618,816,179,1623
2021-01-12,UK,2639,936,179,1524
2021-01-13,UK,2378,856,182,1340
2021-01-14,UK,2420,1016,186,1218
2021-01-15,UK,2363,962,194,1207
2021-01-16,UK,2597,1055,185,1357
2021-01-17,UK,2444,908,181,1355
2021-01-18,UK,2529,839,189,1501
2021-01-19,UK,2673,1032,188,1453
2021-01-20,UK,2501,891,191,1419
2021-01-21,UK,2316,930,195,1191
2021-01-22,UK,2438,892,198,1348
2021-01-23,UK,2492,1044,182,1266
2021-01-24,UK,2493,895,183,1415
2021-01-25,UK,2582,1069,195,1318
2021-01-26,UK,2608,1013,181,1414
2021-01-27,UK,2677,1078,188,1411
2021-01-28,UK,2508,804,187,1517
2021-01-29,UK,2505,1105,185,1215
2021-01-30,UK,2326,1003,187,1136
2021-01-01,Germany,4706,2985,120,1601
2021-01-02,Germany,4778,2840,114,1824
2021-01-03,Germany,4991,2819,122,2050
2021-01-04,Germany,4845,3016,114,1715
2021-01-05,Germany,4875,2878,112,1885
2021-01-06,Germany,4750,2985,110,1655
2021-01-07,Germany,4799,2892,106,1801
2021-01-08,Germany,4955,2910,123,1922
2021-01-09,Germany,4758,2946,107,1705
2021-01-10,Germany,4891,2834,111,1946
2021-01-11,Germany,4710,3004,124,1582
2021-01-12,Germany,4985,3084,124,1777
2021-01-13,Germany,4615,3013,122,1480
2021-01-14,Germany,4765,3052,117,1596
2021-01-15,Germany,4968,2950,114,1904
2021-01-16,Germany,4766,3002,108,1656
2021-01-17,Germany,4800,2922,113,1765
2021-01-18,Germany,4753,2792,107,1854
2021-01-19,Germany,4636,2915,115,1606
2021-01-20,Germany,4985,2868,116,2001
2021-01-21,Germany,4921,2991,120,1810
2021-01-22,Germany,5002,3086,114,1802
2021-01-23,Germany,4883,2935,118,1830
2021-01-24,Germany,4941,3042,122,1777
2021-01-25,Germany,4982,3106,124,1752
2021-01-26,Germany,4739,2912,118,1709
2021-01-27,Germany,4940,3099,106,1735
2021-01-28,Germany,5007,2940,110,1957
2021-01-29,Germany,4741,2878,122,1741
2021-01-30,Germany,4844,2881,117,1846
2021-01-01,France,2059,3259,48,0
2021-01-02,France,1728,3350,36,0
2021-01-03,France,1791,3388,31,0
2021-01-04,France,1766,3436,43,0
2021-01-05,France,2082,3402,35,0
2021-01-06,France,1846,3487,46,0
2021-01-07,France,1954,3522,37,0
2021-01-08,France,1921,3233,34,0
2021-01-09,France,2017,3259,38,0
2021-01-10,France,1751,3303,48,0
2021-01-11,France,1754,3400,40,0
2021-01-12,France,1733,3485,32,0
2021-01-13,France,2034,3453,30,0
2021-01-14,France,1804,3278,34,0
2021-01-15,France,2118,3528,29,0
2021-01-16,France,1787,3383,47,0
2021-01-17,France,1763,3371,36,0
2021-01-18,France,1795,3410,36,0
2021-01-19,France,1775,3430,29,0
2021-01-20,France,1786,3405,35,0
2021-01-21,France,1820,3321,34,0
2021-01-22,France,2085,3342,41,0
2021-01-23,France,2089,3447,35,0
2021-01-24,France,2009,3278,47,0
2021-01-25,France,1846,3452,46,0
2021-01-26,France,2101,3461,42,0
2021-01-27,France,2066,3425,44,0
2021-01-28,France,1900,3509,48,0
2021-01-29,France,2023,3305,48,0
2021-01-30,France,2050,3455,40,0
2021-01-01,Italy,2052,536,100,1416
2021-01-02,Italy,2244,641,108,1495
2021-01-03,Italy,1982,659,105,1218
2021-01-04,Italy,2045,764,114,1167
2021-01-05,Italy,2236,731,104,1401
2021-01-06,Italy,2226,505,116,1605
2021-01-07,Italy,2037,513,98,1426
2021-01-08,Italy,2163,667,102,1394
2021-01-09,Italy,1991,630,116,1245
2021-01-10,Italy,2012,559,110,1343
2021-01-11,Italy,2046,580,98,1368
2021-01-12,Italy,1913,754,105,1054
2021-01-13,Italy,2119,549,99,1471
2021-01-14,Italy,2136,623,100,1413
2021-01-15,Italy,2262,669,105,1488
2021-01-16,Italy,1949,745,111,1093
2021-01-17,Italy,2225,583,116,1526
2021-01-18,Italy,2200,644,113,1443
2021-01-19,Italy,2120,492,99,1529
2021-01-20,Italy,2142,704,104,1334
2021-01-21,Italy,2039,748,99,1192
2021-01-22,Italy,2118,605,115,1398
2021-01-23,Italy,2167,605,109,1453
2021-01-24,Italy,2228,557,117,1554
2021-01-25,Italy,2196,752,98,1346
2021-01-26,Italy,1873,819,103,951
2021-01-27,Italy,2237,715,114,1408
2021-01-28,Italy,2170,782,112,1276
2021-01-29,Italy,2191,809,102,1280
2021-01-30,Italy,2254,740,98,1416
2021-01-01,Spain,4911,3239,120,1552
2021-01-02,Spain,4988,3513,121,1354
2021-01-03,Spain,4885,3457,127,1301
2021-01-04,Spain,4995,3349,123,1523
2021-01-05,Spain,5139,3445,122,1572
2021-01-06,Spain,4915,3302,139,1474
2021-01-07,Spain,4912,3438,138,1336
2021-01-08,Spain,5140,3508,120,1512
2021-01-09,Spain,5193,3482,129,1582
2021-01-10,Spain,4894,3338,134,1422
2021-01-11,Spain,5119,3424,120,1575
2021-01-12,Spain,4928,3372,121,1435
2021-01-13,Spain,5147,3309,131,1707
2021-01-14,Spain,4887,3405,129,1353
2021-01-15,Spain,4923,3229,126,1568
2021-01-16,Spain,5068,3245,130,1693
2021-01-17,Spain,4885,3244,125,1516
2021-01-18,Spain,5038,3272,124,1642
2021-01-19,Spain,5120,3222,120,1778
2021-01-20,Spain,5140,3393,123,1624
2021-01-21,Spain,4907,3449,136,1322
2021-01-22,Spain,5228,3511,125,1592
2021-01-23,Spain,5217,3361,134,1722
2021-01-24,Spain,5015,3274,128,1613
2021-01-25,Spain,4893,3239,120,1534
2021-01-26,Spain,5124,3267,133,1724
2021-01-27,Spain,5195,3474,124,1597
2021-01-28,Spain,5228,3456,138,1634
2021-01-29,Spain,5237,3218,123,1896
2021-01-30,Spain,5087,3487,123,1477
2021-01-01,Russia,1310,1791,145,0
2021-01-02,Russia,1196,1879,134,0
2021-01-03,Russia,1437,1914,140,0
2021-01-04,Russia,1301,1944,140,0
2021-01-05,Russia,1449,1800,153,0
2021-01-06,Russia,1183,1833,149,0
2021-01-07,Russia,1142,1754,140,0
2021-01-08,Russia,1436,1863,136,0
2021-01-09,Russia,1412,1900,139,0
2021-01-10,Russia,1495,1974,153,0
2021-01-11,Russia,1398,1894,134,0
2021-01-12,Russia,1148,1786,150,0
2021-01-13,Russia,1319,2035,134,0
2021-01-14,Russia,1338,1833,135,0
2021-01-15,Russia,1515,1766,153,0
2021-01-16,Russia,1223,1959,151,0
2021-01-17,Russia,1394,1910,152,0
2021-01-18,Russia,1313,1813,143,0
2021-01-19,Russia,1460,1923,153,0
2021-01-20,Russia,1370,1865,134,0
2021-01-21,Russia,1225,1969,148,0
2021-01-22,Russia,1209,1986,153,0
2021-01-23,Russia,1197,1910,142,0
2021-01-24,Russia,1152,1887,142,0
2021-01-25,Russia,1485,1946,152,0
2021-01-26,Russia,1146,1906,149,0
2021-01-27,Russia,1443,1853,153,0
2021-01-28,Russia,1214,1882,144,0
2021-01-29,Russia,1292,1788,147,0
2021-01-30,Russia,1323,1904,148,0
2021-01-01,China,942,2342,28,0
2021-01-02,China,1035,2485,34,0
2021-01-03,China,805,2526,43,0
2021-01-04,China,770,2273,34,0
2021-01-05,China,1027,2457,38,0
2021-01-06,China,1050,2361,37,0
2021-01-07,China,989,2301,30,0
2021-01-08,China,739,2452,30,0
2021-01-09,China,857,2329,40,0
2021-01-10,China,1108,2406,44,0
2021-01-11,China,766,2596,31,0
2021-01-12,China,1060,2275,36,0
2021-01-13,China,812,2505,34,0
2021-01-14,China,1050,2570,27,0
2021-01-15,China,1048,2445,32,0
2021-01-16,China,1068,2322,42,0
2021-01-17,China,925,2298,29,0
2021-01-18,China,1003,2543,38,0
2021-01-19,China,989,2477,40,0
2021-01-20,China,1122,2479,44,0
2021-01-21,China,735,2512,44,0
2021-01-22,China,814,2277,27,0
2021-01-23,China,1013,2313,30,0
2021-01-24,China,783,2531,35,0
2021-01-25,China,1034,2496,36,0
2021-01-26,China,1061,2530,32,0
2021-01-27,China,1027,2299,38,0
2021-01-28,China,1060,2448,27,0
2021-01-29,China,960,2440,46,0
2021-01-30,China,1099,2524,38,0
