Country,Region,Year,HappinessScore,GDPPerCapita,SocialSupport,LifeExpectancy,Freedom,Generosity
Sweden,Europe,2022,4.079,1.057,1.3,0.463,0.3,0.345
Sweden,Europe,2023,4.214,1.038,0.644,1.056,0.307,0.34
Luxembourg,South America,2018,5.3,1.288,0.864,0.416,0.618,0.207
Luxembourg,South America,2019,5.858,1.432,0.754,1.025,0.356,0.234
Luxembourg,South America,2020,5.589,1.435,0.741,0.864,0.424,0.045
Luxembourg,South America,2021,5.586,1.327,1.452,0.896,0.383,0.374
Luxembourg,South America,2022,5.388,1.34,0.779,0.949,0.585,0.398
Luxembourg,South America,2023,5.403,1.382,0.873,1.037,0.371,0.324
New Zealand,North America,2018,7.383,1.91,1.218,0.919,0.561,0.428
New Zealand,North America,2019,6.828,1.843,0.85,0.821,0.25,0.001
New Zealand,North America,2020,7.176,1.876,1.175,0.731,0.651,0.143
New Zealand,North America,2021,7.364,1.84,1.242,0.685,0.28,0.016
New Zealand,North America,2022,7.223,1.9,1.527,0.485,0.25,0.36
New Zealand,North America,2023,7.145,1.793,1.206,0.458,0.301,0.454
Austria,Asia,2018,6.808,1.012,1.038,0.882,0.43,0.431
Austria,Asia,2019,7.167,1.055,1.088,0.929,0.52,0.384
Austria,Asia,2020,6.688,1.129,0.644,0.471,0.392,0.421
Austria,Asia,2021,7.114,1.093,1.187,0.516,0.429,0.277
Austria,Asia,2022,7.266,1.176,0.728,0.408,0.353,0.242
Austria,Asia,2023,6.908,1.137,1.091,0.445,0.244,0.136
Australia,Middle East,2018,6.276,0.511,0.834,0.461,0.69,0.137
Australia,Middle East,2019,6.348,0.629,1.234,0.952,0.378,0.5
Australia,Middle East,2020,6.663,0.623,1.57,0.464,0.282,0.082
Australia,Middle East,2021,6.385,0.674,1.178,1.049,0.276,0.189
Australia,Middle East,2022,6.186,0.523,1.444,0.444,0.4,0.177
Australia,Middle East,2023,6.108,0.525,1.467,0.948,0.321,0.262
Israel,South America,2018,4.709,1.791,1.08,0.782,0.528,0.229
Israel,South America,2019,4.683,1.686,1.405,1.063,0.38,0.019
Israel,South America,2020,4.441,1.678,0.611,0.544,0.345,0.404
Israel,South America,2021,4.37,1.613,0.917,1.043,0.212,0.006
Israel,South America,2022,4.601,1.662,1.288,0.651,0.267,0.014
Israel,South America,2023,4.452,1.653,1.413,0.554,0.681,0.013
Germany,Oceania,2018,5.8,1.439,1.054,0.944,0.27,0.166
Germany,Oceania,2019,5.613,1.415,1.515,1.039,0.532,0.393
Germany,Oceania,2020,5.7,1.48,0.532,0.909,0.334,0.216
Germany,Oceania,2021,5.946,1.424,1.1,0.872,0.559,0.48
Germany,Oceania,2022,5.73,1.355,0.909,0.512,0.34,0.064
Germany,Oceania,2023,5.849,1.378,1.134,0.753,0.361,0.413
Canada,Oceania,2018,4.01,0.871,0.84,0.312,0.31,0.022
Canada,Oceania,2019,4.298,0.996,1.027,0.397,0.305,0.386
Canada,Oceania,2020,4.109,0.922,0.525,0.41,0.359,0.167
Canada,Oceania,2021,4.516,1.003,1.37,0.643,0.479,0.221
Canada,Oceania,2022,3.984,0.87,0.796,0.588,0.342,0.365
Canada,Oceania,2023,4.262,0.929,0.675,0.991,0.6,0.091
Ireland,Oceania,2018,4.956,1.847,0.953,0.473,0.424,0.275
Ireland,Oceania,2019,4.967,1.735,0.834,0.831,0.582,0.218
Ireland,Oceania,2020,4.923,1.882,0.731,0.787,0.535,0.126
Ireland,Oceania,2021,5.259,1.81,1.15,0.612,0.252,0.356
Ireland,Oceania,2022,4.827,1.895,1.233,0.714,0.662,0.277
Ireland,Oceania,2023,4.966,1.748,1.562,0.762,0.362,0.157
Costa Rica,Middle East,2018,7.455,1.169,1.39,0.963,0.511,0.159
Costa Rica,Middle East,2019,7.46,1.258,0.637,1.083,0.241,0.179
Costa Rica,Middle East,2020,7.164,1.234,1.515,0.961,0.452,0.251
Costa Rica,Middle East,2021,7.208,1.14,0.542,0.624,0.323,0.055
Costa Rica,Middle East,2022,7.092,1.15,0.716,0.874,0.442,0.086
Costa Rica,Middle East,2023,7.353,1.29,1.548,0.816,0.351,0.346
United Kingdom,Asia,2018,5.141,1.62,0.518,0.483,0.213,0.379
United Kingdom,Asia,2019,4.69,1.503,1.06,0.798,0.224,0.005
United Kingdom,Asia,2020,5.128,1.482,1.565,0.634,0.522,0.486
United Kingdom,Asia,2021,5.283,1.593,0.958,1.01,0.394,0.417
United Kingdom,Asia,2022,4.725,1.615,0.535,0.613,0.451,0.449
United Kingdom,Asia,2023,4.826,1.554,1.218,0.97,0.412,0.203
United States,Oceania,2018,7.283,1.237,1.322,0.701,0.53,0.075
United States,Oceania,2019,7.184,1.232,0.58,0.7,0.22,0.107
United States,Oceania,2020,7.313,1.263,1.463,0.3,0.405,0.445
United States,Oceania,2021,7.489,1.243,1.147,0.642,0.467,0.478
United States,Oceania,2022,7.068,1.226,1.054,0.377,0.659,0.074
United States,Oceania,2023,7.082,1.113,0.767,0.316,0.25,0.292
Belgium,South America,2018,4.218,1.44,0.556,0.358,0.656,0.338
Belgium,South America,2019,4.658,1.514,1.262,0.648,0.487,0.38
Belgium,South America,2020,4.708,1.467,0.734,0.312,0.415,0.173
Belgium,South America,2021,4.586,1.455,1.293,0.457,0.573,0.144
Belgium,South America,2022,4.48,1.47,0.734,0.456,0.362,0.36
Belgium,South America,2023,4.232,1.434,0.622,0.496,0.539,0.176
France,Asia,2018,4.304,1.011,0.734,0.815,0.423,0.034
France,Asia,2019,4.867,1.089,0.858,0.532,0.431,0.229
France,Asia,2020,4.688,1.085,1.325,0.483,0.635,0.421
France,Asia,2021,4.762,1.026,0.917,0.865,0.696,0.277
France,Asia,2022,4.554,1.099,1.263,0.36,0.377,0.258
France,Asia,2023,4.459,1.132,0.71,0.772,0.62,0.115
Czech Republic,Asia,2018,4.778,1.22,0.764,0.671,0.42,0.265
Czech Republic,Asia,2019,4.798,1.208,1.422,0.869,0.258,0.113
Czech Republic,Asia,2020,4.713,1.178,0.819,0.621,0.315,0.497
Czech Republic,Asia,2021,4.542,1.233,0.952,0.396,0.63,0.197
Czech Republic,Asia,2022,4.958,1.268,0.773,0.411,0.661,0.434
Czech Republic,Asia,2023,4.707,1.262,0.843,0.798,0.359,0.37
United Arab Emirates,South America,2018,6.593,1.163,1.001,1.083,0.611,0.448
United Arab Emirates,South America,2019,6.707,1.164,0.555,1.016,0.412,0.293
United Arab Emirates,South America,2020,6.897,1.085,1.098,0.387,0.586,0.059
United Arab Emirates,South America,2021,6.625,1.07,0.905,0.677,0.208,0.073
United Arab Emirates,South America,2022,7.008,1.106,0.828,0.506,0.616,0.05
United Arab Emirates,South America,2023,6.962,1.056,0.705,0.685,0.232,0.362
Malta,North America,2018,6.878,0.977,0.903,0.561,0.649,0.376
Malta,North America,2019,6.455,1.063,1.035,0.54,0.566,0.132
Malta,North America,2020,6.394,1.062,0.91,0.726,0.328,0.388
Malta,North America,2021,6.807,0.874,0.746,0.484,0.621,0.243
Malta,North America,2022,6.629,1.046,1.519,0.596,0.308,0.234
Malta,North America,2023,6.514,1.063,1.224,0.885,0.529,0.323
Mexico,South America,2018,7.017,0.656,0.852,0.566,0.307,0.426
Mexico,South America,2019,6.616,0.726,1.151,0.522,0.66,0.209
Mexico,South America,2020,6.845,0.782,0.792,0.478,0.508,0.283
Mexico,South America,2021,6.834,0.776,0.839,0.599,0.592,0.435
Mexico,South America,2022,6.741,0.821,1.013,0.804,0.519,0.302
Mexico,South America,2023,7.073,0.832,0.92,0.978,0.468,0.3
Slovenia,Oceania,2018,6.871,1.673,1.002,0.784,0.302,0.312
Slovenia,Oceania,2019,6.383,1.687,0.978,0.853,0.338,0.121
Slovenia,Oceania,2020,6.272,1.706,1.136,1.05,0.599,0.182
Slovenia,Oceania,2021,6.391,1.737,1.16,0.425,0.507,0.04
Slovenia,Oceania,2022,6.477,1.685,0.908,0.661,0.218,0.1
Slovenia,Oceania,2023,6.842,1.774,0.87,0.738,0.367,0.386
Lithuania,Asia,2018,7.093,1.693,0.927,1.087,0.303,0.492
Lithuania,Asia,2019,6.703,1.644,1.459,0.385,0.352,0.392
Lithuania,Asia,2020,6.678,1.715,1.231,0.901,0.461,0.1
Lithuania,Asia,2021,6.873,1.677,0.875,0.856,0.617,0.032
Lithuania,Asia,2022,7.145,1.727,1.525,0.526,0.689,0.346
Lithuania,Asia,2023,7.019,1.757,0.976,0.753,0.31,0.341
Uruguay,Middle East,2018,7.907,0.968,1.129,0.577,0.426,0.184
Uruguay,Middle East,2019,7.561,1.015,1.587,0.659,0.403,0.032
Uruguay,Middle East,2020,7.834,1.028,1.525,0.391,0.252,0.234
Uruguay,Middle East,2021,7.633,0.938,1.264,0.517,0.631,0.297
Uruguay,Middle East,2022,7.389,1.042,1.133,0.849,0.444,0.375
Uruguay,Middle East,2023,7.882,0.906,0.968,0.324,0.3,0.155
Slovakia,Europe,2018,4.007,0.745,1.05,0.455,0.426,0.33
Slovakia,Europe,2019,3.87,0.827,0.752,0.664,0.262,0.312
Slovakia,Europe,2020,3.841,0.738,1.463,0.87,0.496,0.481
Slovakia,Europe,2021,3.817,0.701,0.695,0.999,0.654,0.362
Slovakia,Europe,2022,4.095,0.698,0.939,0.582,0.501,0.429
Slovakia,Europe,2023,4.284,0.78,1.304,0.77,0.57,0.185
Brazil,Oceania,2018,5.581,1.006,0.575,0.793,0.692,0.193
Brazil,Oceania,2019,5.401,1.132,1.284,0.395,0.639,0.056
Brazil,Oceania,2020,5.924,1.13,0.506,0.97,0.457,0.425
Brazil,Oceania,2021,5.849,1.129,0.549,0.762,0.48,0.392
Brazil,Oceania,2022,5.598,0.985,1.562,0.645,0.495,0.238
Brazil,Oceania,2023,5.412,1.033,1.463,0.366,0.21,0.309
Spain,Asia,2018,6.831,2.05,0.993,0.361,0.57,0.482
Spain,Asia,2019,6.889,2.028,1.582,0.943,0.571,0.291
Spain,Asia,2020,7.124,1.974,1.496,0.601,0.656,0.323
Spain,Asia,2021,7.213,1.904,0.628,1.043,0.568,0.176
Spain,Asia,2022,7.274,2.042,1.296,0.959,0.376,0.057
Spain,Asia,2023,7.061,2.057,0.976,0.911,0.377,0.421
Guatemala,North America,2018,7.293,1.624,1.485,0.915,0.218,0.422
Guatemala,North America,2019,7.556,1.477,0.576,0.871,0.651,0.343
Guatemala,North America,2020,7.51,1.629,1.369,0.514,0.37,0.411
Guatemala,North America,2021,7.278,1.607,1.595,0.633,0.631,0.239
Guatemala,North America,2022,7.564,1.523,1.148,0.864,0.615,0.159
Guatemala,North America,2023,7.702,1.528,0.881,0.432,0.392,0.355
Italy,South America,2018,6.926,0.782,1.245,0.958,0.548,0.017
Italy,South America,2019,6.766,0.644,1.39,0.912,0.317,0.382
Italy,South America,2020,7.1,0.783,1.443,0.763,0.531,0.448
Italy,South America,2021,7.011,0.779,1.409,0.913,0.237,0.462
Italy,South America,2022,7.123,0.775,0.896,0.968,0.639,0.241
Italy,South America,2023,6.667,0.747,1.326,0.771,0.386,0.021
Singapore,Europe,2018,4.534,0.635,0.647,0.972,0.495,0.137
Singapore,Europe,2019,4.155,0.805,1.481,0.391,0.335,0.273
Singapore,Europe,2020,4.02,0.701,0.691,0.766,0.647,0.428
Singapore,Europe,2021,4.177,0.679,1.114,0.488,0.598,0.321
Singapore,Europe,2022,4.251,0.649,1.171,0.498,0.415,0.012
Singapore,Europe,2023,4.567,0.744,0.956,0.748,0.663,0.393
El Salvador,Oceania,2018,5.037,1.786,1.595,0.89,0.4,0.411
El Salvador,Oceania,2019,5.152,1.824,1.371,0.437,0.685,0.16
El Salvador,Oceania,2020,4.978,1.962,0.791,0.977,0.485,0.401
El Salvador,Oceania,2021,4.867,1.799,0.694,0.787,0.324,0.131
El Salvador,Oceania,2022,4.988,1.775,0.797,0.347,0.237,0.322
El Salvador,Oceania,2023,4.993,1.89,0.592,0.7,0.341,0.454
Poland,Oceania,2018,5.851,1.469,0.519,0.302,0.664,0.052
Poland,Oceania,2019,6.195,1.475,1.437,0.975,0.382,0.198
Poland,Oceania,2020,5.694,1.406,1.49,0.592,0.209,0.061
Poland,Oceania,2021,5.775,1.384,0.906,0.801,0.302,0.17
Poland,Oceania,2022,5.874,1.372,1.238,1.004,0.227,0.257
Poland,Oceania,2023,5.949,1.434,0.64,0.57,0.453,0.193
Chile,South America,2018,6.476,1.144,0.529,0.813,0.456,0.335
Chile,South America,2019,6.479,1.077,0.832,0.837,0.393,0.1
Chile,South America,2020,6.077,1.116,0.705,0.335,0.571,0.379
Chile,South America,2021,6.325,1.058,0.823,0.924,0.524,0.442
Chile,South America,2022,6.161,1.005,1.125,1.033,0.545,0.146
Chile,South America,2023,6.529,1.165,0.813,0.455,0.462,0.497
Panama,Oceania,2018,7.191,0.724,0.974,0.695,0.494,0.095
Panama,Oceania,2019,6.84,0.725,1.332,0.351,0.233,0.248
Panama,Oceania,2020,6.654,0.775,0.603,0.958,0.562,0.039
Panama,Oceania,2021,6.971,0.776,1.415,0.919,0.578,0.002
Panama,Oceania,2022,7.14,0.613,0.896,0.696,0.42,0.254
Panama,Oceania,2023,7.051,0.754,0.838,0.714,0.437,0.012
Argentina,South America,2018,6.561,0.526,1.443,1.013,0.653,0.476
Argentina,South America,2019,6.547,0.507,1.568,0.389,0.298,0.011
Argentina,South America,2020,6.687,0.499,1.039,0.46,0.621,0.291
Argentina,South America,2021,6.86,0.666,0.75,0.773,0.228,0.328
Argentina,South America,2022,6.444,0.544,0.618,0.64,0.243,0.079
Argentina,South America,2023,6.765,0.625,1.246,0.9,0.629,0.008
Romania,North America,2018,5.43,1.245,0.841,1.012,0.38,0.158
Romania,North America,2019,5.327,1.218,0.686,0.622,0.454,0.493
Romania,North America,2020,5.128,1.162,1.335,0.72,0.454,0.313
Romania,North America,2021,5.521,1.08,1.556,1.017,0.248,0.317
Romania,North America,2022,5.355,1.181,1.119,0.694,0.647,0.169
Romania,North America,2023,5.626,1.135,0.605,0.458,0.455,0.139
Japan,Europe,2018,6.927,0.755,0.521,0.929,0.53,0.006
Japan,Europe,2019,7.087,0.81,1.418,0.949,0.33,0.063
Japan,Europe,2020,6.978,0.823,1.416,0.435,0.387,0.086
Japan,Europe,2021,6.857,0.76,0.927,0.92,0.296,0.496
Japan,Europe,2022,6.668,0.722,0.746,0.752,0.37,0.355
Japan,Europe,2023,6.84,0.741,1.382,0.505,0.535,0.016
South Korea,South America,2018,4.855,0.864,1.254,0.318,0.214,0.192
South Korea,South America,2019,5.04,0.917,1.517,0.528,0.334,0.321
South Korea,South America,2020,4.934,0.892,1.549,0.784,0.519,0.445
South Korea,South America,2021,5.175,0.748,1.057,0.441,0.362,0.475
South Korea,South America,2022,4.767,0.809,1.011,0.907,0.427,0.002
South Korea,South America,2023,4.992,0.821,0.744,0.777,0.479,0.245
Colombia,Middle East,2018,6.557,1.35,1.417,0.786,0.618,0.349
Colombia,Middle East,2019,6.368,1.494,1.221,0.722,0.473,0.423
Colombia,Middle East,2020,6.729,1.353,1.302,0.343,0.21,0.345
Colombia,Middle East,2021,6.287,1.466,0.702,0.382,0.586,0.009
Colombia,Middle East,2022,6.719,1.514,1.569,1.001,0.553,0.355
Colombia,Middle East,2023,6.627,1.347,0.525,0.945,0.27,0.252
Estonia,South America,2018,4.704,1.303,0.841,0.998,0.511,0.446
Estonia,South America,2019,4.823,1.258,0.603,0.717,0.316,0.261
Estonia,South America,2020,4.772,1.259,0.938,0.399,0.571,0.449
Estonia,South America,2021,4.94,1.21,0.79,0.509,0.371,0.289
Estonia,South America,2022,5.123,1.363,1.127,0.629,0.281,0.255
Estonia,South America,2023,5.139,1.255,0.998,0.384,0.293,0.305
Cyprus,North America,2018,5.677,1.081,0.953,0.554,0.307,0.092
Cyprus,North America,2019,5.507,1.148,0.658,0.958,0.226,0.296
Cyprus,North America,2020,5.515,1.045,0.715,0.512,0.284,0.253
Cyprus,North America,2021,5.477,1.105,1.321,0.623,0.265,0.229
Cyprus,North America,2022,5.12,1.015,1.037,0.323,0.609,0.143
Cyprus,North America,2023,5.557,1.07,1.484,0.76,0.4,0.219
Philippines,Middle East,2018,6.268,0.931,1.324,0.49,0.689,0.256
Philippines,Middle East,2019,6.287,1.043,1.077,0.318,0.271,0.491
Philippines,Middle East,2020,6.669,0.964,0.941,0.758,0.655,0.371
Philippines,Middle East,2021,6.632,1.023,1.069,0.379,0.648,0.388
Philippines,Middle East,2022,6.483,1.024,0.756,0.755,0.332,0.147
Philippines,Middle East,2023,6.686,0.935,1.519,0.45,0.352,0.241
Latvia,Europe,2018,6.761,0.756,0.826,0.704,0.458,0.16
Latvia,Europe,2019,6.266,0.725,0.612,0.518,0.506,0.384
Latvia,Europe,2020,6.606,0.747,0.81,0.307,0.391,0.331
Latvia,Europe,2021,6.686,0.741,1.074,0.327,0.501,0.01
Latvia,Europe,2022,6.724,0.802,0.649,0.869,0.683,0.476
Latvia,Europe,2023,6.257,0.642,1.112,1.045,0.276,0.454
Thailand,North America,2018,7.686,0.759,0.846,0.602,0.294,0.043
Thailand,North America,2019,7.371,0.853,1.433,0.6,0.242,0.151
Thailand,North America,2020,7.528,0.76,0.57,1.088,0.502,0.335
Thailand,North America,2021,7.441,0.847,1.097,0.502,0.687,0.204
Thailand,North America,2022,7.351,0.849,1.573,0.879,0.391,0.296
Thailand,North America,2023,7.667,0.79,1.413,0.74,0.645,0.005
Serbia,Europe,2018,5.858,1.169,0.55,0.94,0.278,0.283
Serbia,Europe,2019,5.498,1.149,0.642,0.698,0.217,0.294
Serbia,Europe,2020,5.397,1.126,1.233,0.413,0.385,0.236
Serbia,Europe,2021,5.382,1.148,1.214,0.509,0.636,0.449
Serbia,Europe,2022,5.342,1.121,1.337,0.621,0.22,0.33
Serbia,Europe,2023,5.607,1.091,0.922,0.786,0.486,0.49
Peru,South America,2018,5.796,0.984,1.381,0.432,0.341,0.305
Peru,South America,2019,5.697,0.831,1.125,0.369,0.422,0.49
Peru,South America,2020,5.718,0.989,0.561,0.862,0.675,0.416
Peru,South America,2021,5.701,0.874,1.254,0.462,0.341,0.056
Peru,South America,2022,5.625,0.854,0.787,0.306,0.272,0.288
Peru,South America,2023,5.6,0.826,1.562,0.934,0.222,0.323
Indonesia,Middle East,2018,6.415,0.927,1.345,0.741,0.415,0.108
Indonesia,Middle East,2019,6.534,0.981,0.673,0.982,0.382,0.262
Indonesia,Middle East,2020,6.709,0.853,0.53,0.376,0.564,0.39
Indonesia,Middle East,2021,6.491,0.886,0.866,0.559,0.204,0.049
Indonesia,Middle East,2022,6.514,0.941,1.09,0.645,0.288,0.113
Indonesia,Middle East,2023,6.622,1.013,1.465,0.875,0.651,0.275
