Date,Company,Open,High,Low,Close,Volume
2023-01-18,MediCore,189.32,192.31,185.41,188.33,966654
2023-01-19,MediCore,188.73,189.17,187.31,188.37,4677520
2023-01-20,MediCore,183.77,187.52,182.92,185.14,312978
2023-01-23,MediCore,187.16,190.99,186.64,188.48,1538917
2023-01-24,MediCore,185.59,187.93,183.36,187.45,426306
2023-01-25,MediCore,190.36,190.88,187.29,189.14,574876
2023-01-26,MediCore,184.54,186.67,182.49,182.68,2867181
2023-01-27,MediCore,183.63,186.45,182.05,184.44,1483135
2023-01-30,MediCore,187.94,191.65,185.62,189.33,2419544
2023-01-31,MediCore,191.54,193.52,187.48,189.62,3270959
2023-02-01,MediCore,186.63,190.69,183.66,188.0,577485
2023-02-02,MediCore,187.86,188.94,185.94,188.29,4929638
2023-02-03,MediCore,185.49,188.28,182.99,185.82,3106222
2023-02-06,MediCore,185.91,188.44,184.84,186.63,670725
2023-02-07,MediCore,182.9,185.94,181.46,183.13,411631
2023-02-08,MediCore,183.74,186.23,180.59,183.06,1086746
2023-02-09,MediCore,180.53,183.33,178.11,179.78,3277866
2023-02-10,MediCore,183.34,185.05,180.21,182.45,2156103
2023-02-13,MediCore,182.81,184.28,180.1,182.01,3008035
2023-02-14,MediCore,184.38,185.03,182.8,184.24,4882163
2023-02-15,MediCore,186.26,187.05,182.83,184.54,3624486
2023-02-16,MediCore,184.61,187.65,184.29,186.15,490979
2023-02-17,MediCore,185.41,186.23,184.94,185.32,3537753
2023-02-20,MediCore,182.82,184.73,180.51,183.73,1570256
2023-02-21,MediCore,185.87,188.43,182.59,184.29,1450407
2023-02-22,MediCore,182.68,186.24,180.2,184.19,2359495
2023-02-23,MediCore,178.8,180.35,175.89,180.17,3312608
2023-02-24,MediCore,180.37,183.3,178.22,179.66,3311300
2023-02-27,MediCore,181.84,183.42,180.58,181.37,912613
2023-02-28,MediCore,180.49,183.46,179.18,180.56,1528812
2023-03-01,MediCore,177.23,179.46,174.82,177.72,1234445
2023-03-02,MediCore,177.46,180.42,176.5,177.15,203914
2023-03-03,MediCore,181.69,182.27,179.52,181.55,2010693
2023-03-06,MediCore,183.28,184.03,180.63,181.83,695981
2023-03-07,MediCore,183.12,185.35,181.26,181.87,2185686
2023-03-08,MediCore,178.95,182.48,176.65,179.6,1031150
2023-03-09,MediCore,180.6,183.27,177.99,181.76,3195183
2023-03-10,MediCore,183.11,185.83,180.59,181.69,1901464
2023-03-13,MediCore,180.16,181.7,179.37,180.38,616004
2023-03-14,MediCore,183.91,185.18,180.97,183.69,3883930
2023-03-15,MediCore,186.12,187.99,184.43,186.88,4771778
2023-03-16,MediCore,186.14,188.88,182.36,184.2,741339
2023-03-17,MediCore,181.59,184.04,179.91,181.97,2375489
2023-03-20,MediCore,174.78,179.09,173.99,176.43,120397
2023-03-21,MediCore,175.99,178.88,175.02,177.55,4531988
2023-03-22,MediCore,177.06,177.37,175.98,176.97,2191620
2023-03-23,MediCore,177.57,179.97,177.51,178.41,4177381
2023-03-24,MediCore,183.96,185.62,182.15,182.88,4449858
2023-03-27,MediCore,178.85,181.63,176.68,178.77,265695
2023-03-28,MediCore,179.14,180.07,176.26,179.69,3350432
2023-03-29,MediCore,175.47,177.96,175.17,175.75,550036
2023-03-30,MediCore,177.9,178.32,173.54,175.98,3759401
2023-03-31,MediCore,180.76,181.72,176.82,179.56,4000100
2023-04-03,MediCore,181.58,182.5,179.7,180.77,3978261
2023-04-04,MediCore,182.72,183.46,179.05,181.74,4807537
2023-04-05,MediCore,188.35,191.35,187.56,187.95,4965578
2023-04-06,MediCore,185.89,189.5,183.38,187.77,336635
2023-04-07,MediCore,187.08,189.22,184.1,187.85,248571
2023-04-10,MediCore,185.67,188.96,184.13,187.14,4920018
2023-04-11,MediCore,194.56,194.81,191.45,193.59,300628
2023-04-12,MediCore,195.57,197.8,194.23,196.93,205940
2023-04-13,MediCore,195.35,199.26,193.95,196.5,3246241
2023-04-14,MediCore,195.3,196.35,191.86,193.81,2644829
2023-04-17,MediCore,197.2,198.98,195.45,196.45,4540479
2023-04-18,MediCore,193.84,196.63,190.96,193.94,3272322
2023-04-19,MediCore,193.93,196.97,192.8,194.04,3168469
2023-04-20,MediCore,189.67,192.66,187.55,191.11,4394133
2023-04-21,MediCore,187.8,189.98,186.35,186.87,3292511
2023-04-24,MediCore,185.49,189.43,182.54,187.46,4961905
2023-04-25,MediCore,195.73,198.29,191.71,194.06,1548299
2023-04-26,MediCore,198.38,201.08,196.5,198.64,531189
2023-04-27,MediCore,200.59,201.23,199.05,200.91,1170153
2023-04-28,MediCore,198.97,201.11,195.12,197.98,2203715
2023-05-01,MediCore,196.38,197.87,194.42,197.03,4318923
2023-05-02,MediCore,197.12,197.46,194.1,196.14,2958297
2023-05-03,MediCore,199.06,200.37,196.03,197.87,1434210
2023-05-04,MediCore,199.44,200.15,198.32,199.42,1308163
2023-05-05,MediCore,198.79,200.05,196.58,198.5,762757
2023-05-08,MediCore,203.0,206.16,200.22,203.32,847608
2023-05-09,MediCore,199.28,202.73,199.06,200.46,3001410
2023-05-10,MediCore,194.78,197.15,194.07,196.74,4827824
2023-05-11,MediCore,197.85,199.61,197.29,198.91,1484542
2023-05-12,MediCore,196.56,198.3,193.22,195.49,2789281
2023-05-15,MediCore,194.32,198.13,192.36,195.82,4620773
2023-05-16,MediCore,192.91,197.05,191.91,194.09,1143753
2023-05-17,MediCore,196.56,197.89,195.17,197.78,4325773
2023-05-18,MediCore,196.87,198.97,193.28,195.96,1129236
2023-05-19,MediCore,199.4,199.98,195.15,198.0,3930245
2023-01-02,RetailMax,199.7,201.55,195.33,198.28,1285913
2023-01-03,RetailMax,192.16,194.68,190.19,192.88,1681489
2023-01-04,RetailMax,190.46,192.2,189.52,190.26,4931594
2023-01-05,RetailMax,193.6,194.26,192.83,193.11,2548520
2023-01-06,RetailMax,189.77,191.04,187.47,190.83,888609
2023-01-09,RetailMax,187.54,188.5,187.42,188.06,1929573
2023-01-10,RetailMax,191.16,193.8,190.93,192.21,1176645
2023-01-11,RetailMax,192.25,194.37,188.71,190.33,2017247
2023-01-12,RetailMax,188.39,189.95,187.93,189.38,2047647
2023-01-13,RetailMax,191.62,191.73,191.11,191.69,2266144
2023-01-16,RetailMax,190.05,193.43,187.1,191.32,1434477
2023-01-17,RetailMax,195.42,196.14,192.45,195.05,1450877
2023-01-18,RetailMax,201.72,206.4,199.69,203.6,4385427
2023-01-19,RetailMax,210.96,213.2,208.99,209.14,2914998
2023-01-20,RetailMax,207.36,209.6,205.43,206.5,409198
2023-01-23,RetailMax,206.25,206.31,203.56,206.09,3388817
2023-01-24,RetailMax,205.07,207.61,203.39,203.42,4419816
2023-01-25,RetailMax,207.2,209.26,206.51,208.27,1075366
2023-01-26,RetailMax,208.23,211.09,207.43,207.91,3862906
2023-01-27,RetailMax,205.28,208.12,203.44,206.79,1842027
2023-01-30,RetailMax,208.34,210.86,205.89,207.72,533381
2023-01-31,RetailMax,208.99,211.24,207.89,208.24,4614200
2023-02-01,RetailMax,208.58,211.87,208.2,209.62,4646001
2023-02-02,RetailMax,211.46,215.22,209.9,212.73,1406421
2023-02-03,RetailMax,216.14,217.45,215.68,215.93,228530
2023-02-06,RetailMax,210.86,215.19,210.11,212.8,4625405
2023-02-07,RetailMax,212.55,214.87,211.29,211.4,1811609
2023-02-08,RetailMax,210.9,211.64,210.45,211.07,2995838
2023-02-09,RetailMax,210.5,213.39,206.54,208.63,3947290
2023-02-10,RetailMax,210.67,211.89,208.96,209.84,2335712
2023-02-13,RetailMax,208.86,209.68,205.77,208.66,1983442
2023-02-14,RetailMax,210.83,212.36,209.69,211.41,945480
2023-02-15,RetailMax,212.27,215.1,209.38,212.61,3313810
2023-02-16,RetailMax,211.71,213.44,208.14,210.63,1426432
2023-02-17,RetailMax,216.37,218.38,215.73,215.99,4376295
2023-02-20,RetailMax,212.99,214.81,211.1,212.15,2750292
2023-02-21,RetailMax,209.26,211.39,206.04,208.65,2525459
2023-02-22,RetailMax,209.31,210.75,206.77,208.74,1147956
2023-02-23,RetailMax,213.35,214.73,211.48,213.62,613934
2023-02-24,RetailMax,213.92,215.89,212.86,214.61,825964
2023-02-27,RetailMax,214.07,216.53,211.77,214.66,4993826
2023-02-28,RetailMax,213.88,213.98,209.81,212.51,1372536
2023-03-01,RetailMax,208.97,213.03,206.44,210.42,3183275
2023-03-02,RetailMax,208.89,211.58,206.3,208.78,4309539
2023-03-03,RetailMax,207.43,210.23,206.8,208.59,2294887
2023-03-06,RetailMax,211.12,215.05,211.04,212.58,2964547
2023-03-07,RetailMax,212.64,215.54,211.0,214.17,538081
2023-03-08,RetailMax,206.47,207.83,203.66,204.71,712623
2023-03-09,RetailMax,204.68,204.9,202.78,203.84,3048917
2023-03-10,RetailMax,199.82,202.09,197.12,201.25,250436
2023-03-13,RetailMax,198.58,200.22,195.8,199.7,447931
2023-03-14,RetailMax,200.46,203.37,198.59,199.5,790780
2023-03-15,RetailMax,197.6,197.6,196.07,196.29,3402077
2023-03-16,RetailMax,191.8,195.15,189.98,192.43,3321973
2023-03-17,RetailMax,196.72,197.21,194.8,195.85,3504916
2023-03-20,RetailMax,198.19,200.43,194.1,196.94,346532
2023-03-21,RetailMax,197.91,199.57,195.61,198.86,980511
2023-03-22,RetailMax,197.14,199.08,193.85,196.47,3709613
2023-03-23,RetailMax,202.04,203.86,201.2,202.09,2701903
2023-03-24,RetailMax,203.04,204.66,200.82,204.52,3868758
2023-03-27,RetailMax,198.6,202.44,197.68,200.53,1415581
2023-03-28,RetailMax,196.19,198.07,195.21,197.15,411845
2023-03-29,RetailMax,195.22,198.13,193.31,195.33,799885
2023-03-30,RetailMax,196.6,199.17,192.76,195.42,4604254
2023-03-31,RetailMax,198.3,200.35,195.64,199.67,3988001
2023-04-03,RetailMax,203.08,205.84,201.96,204.51,2231013
2023-04-04,RetailMax,203.7,208.23,202.52,205.58,184412
2023-04-05,RetailMax,211.6,213.79,208.21,210.17,1975471
2023-04-06,RetailMax,215.88,217.5,213.3,217.23,1043439
2023-04-07,RetailMax,213.02,213.07,211.8,212.56,310567
2023-04-10,RetailMax,211.3,211.82,209.6,210.06,2192420
2023-04-11,RetailMax,210.81,211.24,209.48,209.91,1996710
2023-04-12,RetailMax,205.05,205.4,204.35,204.96,899829
2023-04-13,RetailMax,207.91,208.98,206.0,207.88,3087776
2023-04-14,RetailMax,205.52,206.99,204.17,204.32,284108
2023-04-17,RetailMax,203.68,204.53,201.39,203.12,2861609
2023-04-18,RetailMax,203.59,205.52,201.79,203.37,3656380
2023-04-19,RetailMax,208.33,211.25,206.63,209.02,4398491
2023-04-20,RetailMax,204.66,206.75,203.49,205.38,479418
2023-04-21,RetailMax,206.42,209.12,206.06,208.36,381350
2023-04-24,RetailMax,206.82,209.58,206.35,206.79,3423264
2023-04-25,RetailMax,206.22,209.14,205.55,205.73,1526243
2023-04-26,RetailMax,207.84,208.79,206.59,207.14,3868237
2023-04-27,RetailMax,204.9,206.49,201.45,203.59,186838
2023-04-28,RetailMax,208.11,211.93,205.74,209.24,453245
2023-05-01,RetailMax,205.04,209.08,204.66,206.25,1407191
2023-05-02,RetailMax,211.47,212.0,209.57,209.69,1298907
2023-05-03,RetailMax,207.74,212.53,204.96,209.66,518149
2023-05-04,RetailMax,205.54,205.71,204.37,204.96,1689441
2023-05-05,RetailMax,205.42,206.95,202.32,203.68,3362901
2023-05-08,RetailMax,200.31,202.48,200.29,201.23,3451464
2023-05-09,RetailMax,205.18,206.75,201.29,203.9,4939932
2023-05-10,RetailMax,205.09,209.37,203.08,206.61,4043690
2023-05-11,RetailMax,207.28,209.7,204.22,207.18,2054727
2023-05-12,RetailMax,204.34,205.0,201.21,202.73,3063618
2023-05-15,RetailMax,197.87,198.07,194.97,196.95,4855939
2023-05-16,RetailMax,196.26,197.2,196.11,197.07,4091375
2023-05-17,RetailMax,200.22,202.86,198.02,199.49,3619554
2023-05-18,RetailMax,194.84,198.35,193.17,195.85,2127138
2023-05-19,RetailMax,199.83,201.2,197.6,197.87,3846181
2023-01-02,AutoDrive,88.3,91.24,85.96,86.42,1365440
2023-01-03,AutoDrive,83.03,86.46,81.79,84.1,2554191
2023-01-04,AutoDrive,86.39,87.09,84.65,85.0,201031
2023-01-05,AutoDrive,81.68,84.64,80.02,80.28,2061172
2023-01-06,AutoDrive,81.35,82.71,80.54,80.75,2247156
2023-01-09,AutoDrive,78.3,82.16,77.64,80.04,4025528
2023-01-10,AutoDrive,81.55,82.73,80.92,82.19,3468211
2023-01-11,AutoDrive,79.95,80.42,78.22,79.96,2394925
2023-01-12,AutoDrive,74.65,76.86,73.12,75.8,221652
2023-01-13,AutoDrive,75.87,77.85,75.07,77.82,3491939
2023-01-16,AutoDrive,77.13,79.42,75.31,79.09,1575514
2023-01-17,AutoDrive,79.54,82.18,78.66,79.88,772250
2023-01-18,AutoDrive,81.15,83.4,78.36,79.6,1260309
2023-01-19,AutoDrive,74.86,77.59,73.69,75.83,2101307
2023-01-20,AutoDrive,76.11,77.82,73.6,75.51,3780679
2023-01-23,AutoDrive,76.2,76.59,73.22,75.47,2274692
2023-01-24,AutoDrive,72.73,75.35,69.56,71.45,539606
2023-01-25,AutoDrive,68.78,71.18,65.39,68.23,3066389
2023-01-26,AutoDrive,66.75,69.94,65.82,68.54,624245
2023-01-27,AutoDrive,67.65,70.64,65.83,66.08,1564739
2023-01-30,AutoDrive,69.39,69.5,65.58,68.47,4318313
2023-01-31,AutoDrive,66.29,67.08,63.81,65.7,1844742
2023-02-01,AutoDrive,63.18,63.22,59.76,62.24,2712035
2023-02-02,AutoDrive,64.91,66.38,62.72,64.6,2408548
2023-02-03,AutoDrive,68.73,68.85,66.7,68.15,699673
